epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.752,0.91972,1.4201,2.35728,1.04489,0.77081,0.84226,0.8293,0.64151,0.7714,0.84279,0.83279,0.55894,0.76059,0.85325,0.56956,0.9865,0.00332881,0.00332881,0.00332881
2,201.097,0.86194,0.96749,0.78703,1.00699,0.76659,0.8177,0.83557,0.6418,0.77463,0.82267,0.84225,0.5673,0.77981,0.82169,0.63201,1.01064,0.00664895,0.00664895,0.00664895
3,295.115,0.92825,0.9991,0.79093,1.03832,0.77851,0.83731,0.8549,0.61989,0.78016,0.83855,0.86041,0.54411,0.8845,0.92026,0.69028,1.05376,0.0099559,0.0099559,0.0099559
4,386.102,0.94663,1.06607,0.82774,1.05238,0.76441,0.82833,0.83819,0.61801,0.76469,0.82837,0.83981,0.54509,0.86634,0.88561,0.63801,1.05764,0.0099406,0.0099406,0.0099406
5,468.699,0.9267,1.02965,0.75252,1.05021,0.69798,0.83034,0.83417,0.63074,0.69903,0.83648,0.84746,0.54597,0.79459,0.83786,0.60772,1.0369,0.0099208,0.0099208,0.0099208
6,557.26,0.90719,0.98758,0.71546,1.04635,0.83303,0.82759,0.87359,0.66881,0.82097,0.84588,0.876,0.5844,0.80474,0.81496,0.56332,1.04456,0.009901,0.009901,0.009901
7,641.788,0.88314,0.98559,0.70014,1.03839,0.80956,0.83687,0.87089,0.67639,0.81106,0.83879,0.87461,0.60274,0.76053,0.81437,0.5598,1.02438,0.0098812,0.0098812,0.0098812
8,727.621,0.85025,0.95068,0.64685,1.03171,0.81928,0.84992,0.8736,0.68337,0.83383,0.84489,0.87717,0.59086,0.74314,0.79796,0.53226,1.02148,0.0098614,0.0098614,0.0098614
9,811.417,0.86463,0.9288,0.66109,1.04178,0.79539,0.85472,0.87397,0.67624,0.79666,0.86355,0.88004,0.59352,0.76374,0.7743,0.566,1.01527,0.0098416,0.0098416,0.0098416
10,898.97,0.82892,0.91465,0.65002,1.01467,0.77614,0.85707,0.87827,0.6845,0.77847,0.86035,0.88036,0.60579,0.74778,0.78686,0.5533,1.00074,0.0098218,0.0098218,0.0098218
11,986.302,0.80989,0.87817,0.61282,1.01554,0.83062,0.84332,0.88009,0.69616,0.83402,0.8444,0.88624,0.60339,0.73272,0.75865,0.50017,1.01139,0.009802,0.009802,0.009802
12,1072.52,0.81478,0.88734,0.61014,1.0166,0.79986,0.83691,0.87084,0.68955,0.8019,0.83988,0.87457,0.58918,0.72237,0.7514,0.50346,0.99701,0.0097822,0.0097822,0.0097822
13,1158.13,0.78976,0.87889,0.60463,1.00644,0.82001,0.83386,0.85759,0.68526,0.82491,0.83855,0.8642,0.59325,0.69243,0.74765,0.49305,0.9828,0.0097624,0.0097624,0.0097624
14,1244.46,0.79316,0.89993,0.58965,1.00928,0.76542,0.89127,0.88586,0.70894,0.805,0.86313,0.88738,0.61639,0.70759,0.74085,0.50005,0.99106,0.0097426,0.0097426,0.0097426
15,1331.88,0.78396,0.85885,0.58265,1.00325,0.78331,0.87141,0.85312,0.68746,0.78201,0.87037,0.8538,0.59506,0.69249,0.7176,0.48274,0.98883,0.0097228,0.0097228,0.0097228
16,1419.77,0.76396,0.84462,0.57296,0.9917,0.8384,0.86649,0.89802,0.73142,0.81905,0.89636,0.90121,0.63306,0.68823,0.71591,0.46887,0.98449,0.009703,0.009703,0.009703
17,1506.2,0.75813,0.83886,0.56377,0.99045,0.81842,0.88981,0.89768,0.7312,0.81297,0.89414,0.90549,0.63649,0.65792,0.72567,0.46496,0.97014,0.0096832,0.0096832,0.0096832
18,1594.03,0.75229,0.84478,0.56607,0.98719,0.79891,0.86881,0.88237,0.71363,0.80335,0.8729,0.88799,0.62649,0.66956,0.71246,0.47924,0.97341,0.0096634,0.0096634,0.0096634
19,1682.99,0.75167,0.83067,0.5719,0.98687,0.82019,0.88029,0.89918,0.73006,0.82431,0.88821,0.90302,0.63187,0.68264,0.71362,0.46319,0.97755,0.0096436,0.0096436,0.0096436
20,1767.39,0.7429,0.81759,0.549,0.98569,0.84538,0.86067,0.89551,0.72131,0.85733,0.85319,0.89984,0.62622,0.6547,0.71296,0.47232,0.96832,0.0096238,0.0096238,0.0096238
21,1852.04,0.74341,0.8277,0.57565,0.98741,0.80158,0.88039,0.89428,0.72439,0.80331,0.88243,0.89635,0.62153,0.64553,0.68609,0.46764,0.96255,0.009604,0.009604,0.009604
22,1940.51,0.73131,0.82378,0.53903,0.98562,0.81031,0.88415,0.88761,0.73369,0.81578,0.89191,0.89435,0.64669,0.63831,0.67636,0.44099,0.96896,0.0095842,0.0095842,0.0095842
23,2040.36,0.73106,0.80446,0.54233,0.97278,0.82351,0.8807,0.90124,0.74708,0.82239,0.87937,0.90075,0.65057,0.63792,0.67786,0.43729,0.96356,0.0095644,0.0095644,0.0095644
24,2139.96,0.72408,0.78401,0.52899,0.97474,0.832,0.87152,0.90439,0.74928,0.84372,0.87403,0.91142,0.64993,0.62649,0.68034,0.44513,0.95801,0.0095446,0.0095446,0.0095446
25,2244.82,0.7158,0.81178,0.53302,0.97119,0.86354,0.88257,0.91868,0.75387,0.86294,0.88177,0.91913,0.64456,0.63855,0.68614,0.43054,0.96157,0.0095248,0.0095248,0.0095248
26,2344.09,0.71591,0.81064,0.52253,0.96942,0.8391,0.88081,0.90078,0.75142,0.84268,0.88406,0.90436,0.65264,0.616,0.67587,0.43441,0.94747,0.009505,0.009505,0.009505
27,2441.78,0.70749,0.80425,0.50836,0.96712,0.85736,0.88906,0.91505,0.77224,0.85997,0.8891,0.91705,0.66687,0.60484,0.6657,0.42261,0.95164,0.0094852,0.0094852,0.0094852
28,2540.85,0.68678,0.7866,0.50604,0.96154,0.85741,0.8808,0.91825,0.76504,0.86041,0.88243,0.92218,0.66119,0.60064,0.66406,0.42161,0.94586,0.0094654,0.0094654,0.0094654
29,2632.06,0.70042,0.79941,0.51509,0.96669,0.83168,0.91346,0.91871,0.77289,0.83627,0.91706,0.92165,0.66158,0.59755,0.66191,0.41931,0.94666,0.0094456,0.0094456,0.0094456
30,2719.67,0.70013,0.78333,0.51603,0.9649,0.81205,0.89506,0.90078,0.75592,0.8101,0.8934,0.90142,0.64921,0.60198,0.65716,0.41878,0.94571,0.0094258,0.0094258,0.0094258
31,2806.85,0.6905,0.79377,0.51208,0.95876,0.84597,0.89453,0.91881,0.76612,0.86349,0.88667,0.91971,0.664,0.60568,0.65909,0.40944,0.94439,0.009406,0.009406,0.009406
32,2896.28,0.68699,0.76681,0.50762,0.95395,0.85318,0.89938,0.92701,0.77719,0.85353,0.89816,0.92843,0.66923,0.61688,0.66715,0.42131,0.94995,0.0093862,0.0093862,0.0093862
33,2983.26,0.68506,0.75688,0.49548,0.96308,0.85208,0.91044,0.93092,0.78195,0.86065,0.90826,0.93085,0.66818,0.60456,0.66683,0.40436,0.94915,0.0093664,0.0093664,0.0093664
34,3070.1,0.67621,0.76736,0.48731,0.96074,0.87253,0.89196,0.92357,0.77775,0.8721,0.89144,0.92261,0.66519,0.58274,0.64354,0.40229,0.93846,0.0093466,0.0093466,0.0093466
35,3157,0.6814,0.75894,0.49846,0.96066,0.84223,0.8918,0.91713,0.77482,0.84196,0.89097,0.91728,0.65297,0.57627,0.66045,0.41173,0.92788,0.0093268,0.0093268,0.0093268
36,3243.79,0.66915,0.77145,0.4887,0.95106,0.8985,0.89226,0.93724,0.8008,0.89617,0.89824,0.93976,0.68277,0.56816,0.62877,0.39187,0.93341,0.009307,0.009307,0.009307
37,3331.76,0.65163,0.7413,0.46406,0.94886,0.84795,0.92649,0.93659,0.79726,0.84914,0.92736,0.93931,0.67936,0.58034,0.64245,0.38727,0.93303,0.0092872,0.0092872,0.0092872
38,3417.28,0.67545,0.75678,0.48771,0.95781,0.81268,0.92614,0.92208,0.7886,0.81431,0.92589,0.92405,0.66972,0.56844,0.62772,0.39707,0.93205,0.0092674,0.0092674,0.0092674
39,3502.76,0.65143,0.74673,0.4721,0.9368,0.8558,0.90493,0.92301,0.78467,0.85732,0.90377,0.9236,0.67466,0.58505,0.65015,0.38721,0.93276,0.0092476,0.0092476,0.0092476
40,3588.38,0.64913,0.73436,0.46572,0.94204,0.86255,0.91844,0.93358,0.7981,0.87802,0.91217,0.93641,0.68213,0.55953,0.63511,0.38449,0.92739,0.0092278,0.0092278,0.0092278
41,3673.65,0.65155,0.72688,0.47242,0.94627,0.88303,0.89916,0.938,0.80825,0.88033,0.90207,0.94104,0.68774,0.54736,0.62004,0.3703,0.92169,0.009208,0.009208,0.009208
42,3757.71,0.64796,0.75943,0.47132,0.94078,0.85174,0.92266,0.93783,0.80662,0.85266,0.92432,0.9389,0.69115,0.54553,0.62249,0.36539,0.91927,0.0091882,0.0091882,0.0091882
43,3842.72,0.6464,0.74683,0.46498,0.93756,0.86342,0.92121,0.93061,0.80203,0.86397,0.92133,0.93133,0.68009,0.54363,0.61745,0.3722,0.91374,0.0091684,0.0091684,0.0091684
44,3927.42,0.64345,0.7338,0.45459,0.9376,0.84769,0.93243,0.93618,0.81131,0.84878,0.93934,0.93931,0.70148,0.538,0.61873,0.36611,0.91277,0.0091486,0.0091486,0.0091486
45,4012.51,0.63377,0.73864,0.45383,0.93928,0.88945,0.90864,0.94409,0.81263,0.89221,0.90666,0.94444,0.69943,0.54126,0.61608,0.36003,0.91946,0.0091288,0.0091288,0.0091288
46,4096.28,0.64321,0.72992,0.4597,0.93692,0.87854,0.91283,0.9487,0.81499,0.87875,0.91181,0.9489,0.68741,0.54606,0.61889,0.36191,0.91131,0.009109,0.009109,0.009109
47,4179.68,0.6274,0.72776,0.44558,0.93108,0.88968,0.89807,0.93807,0.8144,0.89043,0.89642,0.93936,0.67902,0.52265,0.61362,0.35211,0.90456,0.0090892,0.0090892,0.0090892
48,4262.83,0.62646,0.74376,0.45634,0.92655,0.8969,0.90813,0.93141,0.80273,0.89636,0.90624,0.93213,0.68086,0.53267,0.61794,0.35319,0.90602,0.0090694,0.0090694,0.0090694
49,4345.42,0.62494,0.71426,0.45482,0.92829,0.8917,0.92427,0.95053,0.82753,0.89179,0.92431,0.95128,0.70375,0.53211,0.61435,0.36354,0.91067,0.0090496,0.0090496,0.0090496
50,4429.4,0.64248,0.74264,0.4597,0.93815,0.86425,0.92509,0.94088,0.81376,0.86376,0.92406,0.94253,0.69033,0.52519,0.60791,0.35199,0.90206,0.0090298,0.0090298,0.0090298
51,4512.94,0.61032,0.69764,0.43559,0.92785,0.88915,0.92415,0.94898,0.81659,0.89086,0.92189,0.95137,0.71001,0.52683,0.59779,0.35279,0.90427,0.00901,0.00901,0.00901
52,4598.63,0.62316,0.70698,0.44675,0.932,0.90269,0.9191,0.95012,0.82872,0.90321,0.92145,0.95192,0.70376,0.5142,0.5919,0.34899,0.89769,0.0089902,0.0089902,0.0089902
53,4683.57,0.60976,0.70779,0.4428,0.92057,0.8968,0.92422,0.95216,0.83044,0.89698,0.9244,0.95244,0.69498,0.51327,0.59813,0.34334,0.89963,0.0089704,0.0089704,0.0089704
54,4768.21,0.6089,0.70942,0.43573,0.92016,0.90272,0.89852,0.94752,0.82457,0.90042,0.90031,0.94967,0.69966,0.50834,0.59427,0.34152,0.89838,0.0089506,0.0089506,0.0089506
55,4850.99,0.61591,0.71348,0.43742,0.92266,0.89678,0.94165,0.95445,0.83554,0.89608,0.94085,0.9547,0.7162,0.50921,0.58981,0.33399,0.89959,0.0089308,0.0089308,0.0089308
56,4933.42,0.60887,0.70882,0.43793,0.928,0.9095,0.92113,0.95048,0.83614,0.90955,0.92116,0.95076,0.71162,0.50066,0.59131,0.33886,0.89328,0.008911,0.008911,0.008911
